Country code,Year,cereal_yield_(kg_per_hectare),"co2_emissions,_total_(ktco2)",co2_emissions_per_capita_(metric_tons),"co2_emissions_per_units_of_gdp_(kg/$1,000_of_2005_ppp_$)",energy_use_per_capita_(kilograms_of_oil_equivalent),"energy_use_per_units_of_gdp_(kg_oil_eq./$1,000_of_2005_ppp_$)","foreign_direct_investment,_net_inflows_(%_of_gdp)",gdp_($),gni_per_capita_(atlas_$),nationally_terrestrial_protected_areas_(%_of_total_land_area),population,population_growth_(annual_%),population_in_urban_agglomerations_>1million_(%),ratio_of_girls_to_boys_in_primary_&_secondary_school_(%),"under-five_mortality_rate_(per_1,000)",urban_population,urban_population_growth_(annual_%)
AGO,1998,701.6,7308.331,0.556263022552826,211.87101300112,519.274348629747,197.782663612577,17.2837359195065,6445192203.74553,460.0,12.3998266057,13138265.0,2.66904622001228,17.4213414023846,82.045,207.9,6174984.55,4.81966674210864
ARE,1990,2216.4,52009.061,28.7558626859268,547.41916971394,11258.1323445989,214.318642703289,-0.344157178946114,33653227968.2983,20720.0,0.266885480597,1808642.0,5.65321406148652,26.1356863326186,103.86,21.5,1430635.822,5.47637935581232
ARE,1991,1594.0,57010.849,29.851550309664,598.807980274804,12262.38813035,245.977706132853,0.0764748673681836,33919640389.9773,19340.0,0.266886484808,1909812.0,5.44285204581232,26.3772036200422,104.111,20.5,1507987.5552,5.26570408097411
ARE,1992,2315.3,58136.618,28.8648837318994,594.636181917673,11058.790176233,227.818578037665,0.366309323451936,35412694052.5501,19430.0,0.266889498711,2014095.0,5.31651551005473,26.6568855987429,103.977,19.4,1587509.679,5.13905317421787
ARE,1993,858.5,65980.331,31.0978020496733,680.992756645214,11039.3207535076,241.743691705723,1.12272099854233,35745300971.5725,18550.0,0.267615790023,2121704.0,5.20495764205971,26.9649300750717,103.984,18.3,1669356.7072,5.0271798174598
ARE,1994,1855.3,73130.981,32.7503967791919,703.211548156894,11635.3088697615,249.831585820271,0.163217109830254,38268046815.0419,18870.0,0.304184020779,2232980.0,5.11174768414021,27.3043645711113,102.649,17.4,1753782.492,4.93365324704072
ARE,1995,1741.9,70641.088,30.0787374618859,629.26986755144,11754.3404644334,245.909665476524,0.934079157637964,42806864571.426,19940.0,0.304700223896,2348539.0,5.04564164342743,27.6663491643102,101.39,16.3,1841254.576,4.8672294640773
ARE,1997,5137.9,41646.119,15.9465306841374,327.618597750065,11789.2924288083,242.208887343358,0.453880807961408,51209479652.5882,21010.0,0.305764345027,2611610.0,5.41374869098421,28.388656805572,100.63,14.6,2041234.376,5.26033521164939
ARE,1998,7200.0,81495.408,29.5755749325802,614.8553359146231,11596.1113367207,241.074973098444,0.53125249720432,48500477900.0416,20590.0,0.306298373383,2755497.0,5.36309362156203,28.7615265050189,100.95,13.8,2150389.8588,5.20944442360036
ARE,1999,4156.8,78374.791,27.053421805306,569.2222941483101,11311.8840691769,238.009692353731,-1.78524753408209,55193466518.727,18890.0,0.306298373383,2897038.0,5.00910101098579,29.2426264343098,100.684,13.1,2257372.0096,4.85521536892271
